0	4	m_ID
4	60	m_szName
64	1	m_bHasSign
65	4	m_pszSignature
69	4	m_ulType
73	4	m_ulTimeLimit
77	1	m_bOfflineFail
78	1	m_bAbsFail
79	24	m_tmAbsFailTime
103	1	m_bItemNotTakeOff
104	1	m_bAbsTime
105	4	m_ulTimetable
109	24	m_tmType
133	4	m_tmStart
137	4	m_tmEnd
141	4	m_lAvailFrequency
145	4	m_lPeriodLimit
149	1	m_bChooseOne
150	1	m_bRandOne
151	1	m_bExeChildInOrder
152	1	m_bParentAlsoFail
153	1	m_bParentAlsoSucc
154	1	m_bCanGiveUp
155	1	m_bCanRedo
156	1	m_bCanRedoAfterFailure
157	1	m_bClearAsGiveUp
158	1	m_bNeedRecord
159	1	m_bFailAsPlayerDie
160	4	m_ulMaxReceiver
164	1	m_bDelvInZone
165	4	m_ulDelvWorld
169	4	m_ulDelvRegionCnt
173	4	m_pDelvRegion
177	1	m_bEnterRegionFail
178	4	m_ulEnterRegionWorld
182	4	m_ulEnterRegionCnt
186	4	m_pEnterRegion
190	1	m_bLeaveRegionFail
191	4	m_ulLeaveRegionWorld
195	4	m_ulLeaveRegionCnt
199	4	m_pLeaveRegion
203	1	m_bLeaveForceFail
204	1	m_bTransTo
205	4	m_ulTransWldId
209	12	m_TransPt
221	4	m_lMonsCtrl
225	1	m_bTrigCtrl
226	1	m_bAutoDeliver
227	1	m_bDisplayInExclusiveUI
228	1	m_bReadyToNotifyServer
229	1	m_bUsedInTokenShop
230	1	m_bDeathTrig
231	1	m_bClearAcquired
232	4	m_ulSuitableLevel
236	1	m_bShowPrompt
237	1	m_bKeyTask
238	4	m_ulDelvNPC
242	4	m_ulAwardNPC
246	1	m_bSkillTask
247	1	m_bCanSeekOut
248	1	m_bShowDirection
249	1	m_bMarriage
250	4	m_ulChangeKeyCnt
254	4	m_plChangeKey
258	4	m_plChangeKeyValue
262	4	m_pbChangeType
266	1	m_bSwitchSceneFail
267	1	m_bHidden
268	1	m_bDeliverySkill
